x,f
0.700000,0.001770
0.705000,0.002272
0.710000,0.002915
0.715000,0.003740
0.720000,0.004797
0.725000,0.006151
0.730000,0.007884
0.735000,0.010101
0.740000,0.012932
0.745000,0.016545
0.750000,0.021145
0.755000,0.026988
0.760000,0.034390
0.765000,0.043730
0.770000,0.055462
0.775000,0.070110
0.780000,0.088265
0.785000,0.110563
0.790000,0.137644
0.795000,0.170089
0.800000,0.208334
0.805000,0.252561
0.810000,0.302589
0.815000,0.357783
0.820000,0.417025
0.825000,0.478763
0.830000,0.541157
0.835000,0.602286
0.840000,0.660383
0.845000,0.714022
0.850000,0.762240
0.855000,0.804553
0.860000,0.840908
0.865000,0.871580
0.870000,0.897062
0.875000,0.917964
0.880000,0.934930
0.885000,0.948583
0.890000,0.959496
0.895000,0.968170
0.900000,0.975035
0.905000,0.980449
0.910000,0.984708
0.915000,0.988050
0.920000,0.990669
0.925000,0.992718
0.930000,0.994319
0.935000,0.995570
0.940000,0.996547
0.945000,0.997309
0.950000,0.997903
